searchSpace	exhausitive-searchFinished	exhausitive-searchTime	greedy-searchFinished	greedy-searchTime
87	FALSE	183234	TRUE	22
80	TRUE	43455	TRUE	20
76	TRUE	8704	TRUE	59
69	FALSE	100871	TRUE	9
68	FALSE	202351	TRUE	75
62	TRUE	971	TRUE	22
55	TRUE	17	TRUE	4
48	TRUE	2059	TRUE	16
48	TRUE	43	TRUE	8
48	TRUE	4157	TRUE	27
47	TRUE	12	TRUE	5
46	TRUE	3	TRUE	2
46	TRUE	8924	TRUE	27
41	TRUE	7	TRUE	4
41	TRUE	83978	TRUE	49
40	TRUE	2	TRUE	2
40	TRUE	21	TRUE	4
40	TRUE	1467	TRUE	14
40	TRUE	45	TRUE	5
39	TRUE	1518	TRUE	15
39	TRUE	1550	TRUE	10
39	TRUE	1333	TRUE	14
39	TRUE	1772	TRUE	16
39	TRUE	2090	TRUE	9
39	TRUE	619	TRUE	13
39	TRUE	1388	TRUE	19
39	TRUE	1565	TRUE	14
38	TRUE	1306	TRUE	18
38	TRUE	1599	TRUE	14
38	TRUE	1108	TRUE	12
38	TRUE	1326	TRUE	11
38	TRUE	1325	TRUE	17
38	TRUE	1184	TRUE	19
38	TRUE	1140	TRUE	15
38	TRUE	578	TRUE	12
38	TRUE	1421	TRUE	12
38	TRUE	499	TRUE	12
38	TRUE	1265	TRUE	14
38	TRUE	1230	TRUE	11
38	TRUE	1151	TRUE	21
38	TRUE	536	TRUE	11
38	TRUE	1177	TRUE	9
38	TRUE	1160	TRUE	13
38	TRUE	1007	TRUE	8
38	TRUE	1074	TRUE	8
38	TRUE	1109	TRUE	17
38	TRUE	1173	TRUE	10
38	TRUE	446	TRUE	7
38	TRUE	1128	TRUE	13
38	TRUE	914	TRUE	9
38	TRUE	1243	TRUE	21
38	TRUE	1439	TRUE	10
38	TRUE	40	TRUE	4
38	TRUE	1276	TRUE	17
38	TRUE	1275	TRUE	17
38	TRUE	1570	TRUE	17
38	TRUE	561	TRUE	11
38	TRUE	1369	TRUE	9
38	TRUE	519	TRUE	6
38	TRUE	1550	TRUE	14
38	TRUE	1189	TRUE	18
38	TRUE	1170	TRUE	11
38	TRUE	1337	TRUE	11
38	TRUE	1676	TRUE	18
38	TRUE	1236	TRUE	17
38	TRUE	1372	TRUE	12
38	TRUE	1222	TRUE	14
38	TRUE	1430	TRUE	10
38	TRUE	1579	TRUE	12
38	TRUE	1398	TRUE	8
38	TRUE	627	TRUE	14
38	TRUE	1184	TRUE	31
38	TRUE	1313	TRUE	14
38	TRUE	1368	TRUE	37
38	TRUE	1459	TRUE	14
38	TRUE	1692	TRUE	11
38	TRUE	1251	TRUE	19
38	TRUE	1253	TRUE	14
38	TRUE	1401	TRUE	17
38	TRUE	1247	TRUE	15
38	TRUE	1600	TRUE	18
38	TRUE	1232	TRUE	17
38	TRUE	1627	TRUE	18
38	TRUE	1769	TRUE	19
38	TRUE	1493	TRUE	15
38	TRUE	528	TRUE	13
38	TRUE	1783	TRUE	24
38	TRUE	1260	TRUE	18
38	TRUE	1307	TRUE	12
38	TRUE	1522	TRUE	14
38	TRUE	1929	TRUE	11
38	TRUE	1140	TRUE	15
38	TRUE	13	TRUE	5
38	TRUE	1228	TRUE	13
38	TRUE	1501	TRUE	16
38	TRUE	1443	TRUE	19
38	TRUE	1255	TRUE	15
38	TRUE	1252	TRUE	11
