Id	00111-searchFinished	searchSpace	Exhaustive	Greedy	Exhaustive (ms)	Greedy (ms)	# operators	# edges	# blocking edges	# edges in an undirected cycle
586	TRUE	2	2	2	1	2	22	22	20	3
26	TRUE	2	7	4	3	2	11	12	10	3
1623	TRUE	2	2	2	2	2	10	10	8	6
1823	TRUE	3	2	2	1	1	13	14	11	7
591	TRUE	3	4	3	2	2	12	13	10	6
1839	TRUE	3	5	3	2	2	20	22	19	3
162	TRUE	3	2	2	0	1	10	10	7	5
1022	TRUE	3	2	2	2	1	10	10	7	3
1527	TRUE	3	11	3	2	2	11	12	9	4
363	TRUE	3	2	2	1	1	13	13	10	11
1707	TRUE	4	2	2	1	1	10	10	6	3
2007	TRUE	4	2	2	1	3	12	12	8	5
131	TRUE	4	2	2	2	2	12	12	8	5
945	TRUE	4	2	2	1	1	12	12	8	5
944	TRUE	4	2	2	1	1	12	12	8	5
1048	TRUE	4	2	2	2	1	11	11	7	4
1308	TRUE	4	2	2	1	1	12	12	8	3
989	TRUE	4	6	4	3	3	11	13	9	3
2596	TRUE	4	2	2	1	0	10	10	6	5
1216	TRUE	5	2	2	1	0	13	13	8	5
1428	TRUE	5	2	2	1	1	12	13	8	3
2133	TRUE	5	2	2	1	1	11	11	6	9
601	TRUE	5	2	2	1	1	13	13	8	3
1187	TRUE	5	3	3	2	1	19	17	12	3
374	TRUE	5	3	3	1	0	11	12	7	3
2268	TRUE	5	2	2	1	2	11	11	6	3
557	TRUE	5	7	4	3	2	18	19	14	3
313	TRUE	5	3	2	1	1	11	12	7	4
600	TRUE	5	23	6	37	6	23	26	21	3
307	TRUE	5	6	4	2	1	16	19	14	3
352	TRUE	5	3	3	2	1	13	14	9	3
645	TRUE	6	2	2	1	1	12	12	6	8
2946	TRUE	6	4	3	1	1	18	18	12	4
646	TRUE	6	2	2	1	1	10	10	4	6
247	TRUE	6	2	2	1	0	11	11	5	9
1659	TRUE	6	2	2	2	1	13	12	6	3
1634	TRUE	6	5	3	1	2	14	16	10	3
1538	TRUE	6	2	2	1	2	16	18	12	11
1775	TRUE	6	2	2	2	2	12	12	6	3
1737	TRUE	6	5	3	1	1	10	11	5	3
909	TRUE	6	3	3	2	2	15	16	10	8
1690	TRUE	6	4	3	1	1	12	12	6	9
1539	TRUE	6	2	2	1	1	15	17	11	12
2433	TRUE	7	2	2	1	1	17	17	10	10
133	TRUE	7	2	2	1	1	16	15	8	3
395	TRUE	7	4	3	3	2	11	12	5	6
2150	TRUE	7	2	2	1	0	13	14	7	7
2148	TRUE	7	2	2	2	2	13	14	7	7
1818	TRUE	7	2	2	0	1	10	10	3	5
1550	TRUE	7	2	2	1	1	10	11	4	3
1729	TRUE	7	12	5	3	3	17	18	11	6
2937	TRUE	7	9	5	8	5	36	42	35	8
1425	TRUE	7	2	2	1	1	20	21	14	5
910	TRUE	7	2	2	2	1	10	10	3	9
605	TRUE	7	12	5	13	4	23	27	20	3
813	TRUE	7	2	2	1	1	10	10	3	10
1813	TRUE	7	2	2	1	1	13	13	6	3
266	TRUE	7	8	4	2	1	12	10	3	5
1322	TRUE	7	2	2	1	1	10	10	3	4
495	TRUE	8	4	3	1	1	11	12	4	3
555	TRUE	8	10	5	4	2	13	16	8	8
1638	TRUE	8	2	2	1	2	10	10	2	3
647	TRUE	8	7	4	1	1	10	11	3	6
1774	TRUE	8	2	2	1	1	10	11	3	4
598	TRUE	8	172	5	184	7	20	25	17	6
1731	TRUE	8	42	5	17	2	17	20	12	13
2416	TRUE	8	2	2	1	2	35	41	33	3
1705	TRUE	8	2	2	1	1	16	16	8	3
147	TRUE	8	5	2	2	1	10	13	5	3
1335	TRUE	8	2	2	1	1	10	10	2	4
1455	TRUE	8	3	3	1	1	11	12	4	7
2352	TRUE	8	2	2	1	1	11	11	3	4
2681	TRUE	8	26	6	10	3	15	18	10	11
1646	TRUE	8	2	2	0	1	10	10	2	3
2518	TRUE	8	3	3	2	1	20	21	13	9
2046	TRUE	8	4	3	2	1	13	14	6	3
649	TRUE	8	2	2	1	1	10	10	2	3
853	TRUE	8	4	3	4	2	10	11	3	8
1162	TRUE	8	3	2	1	1	11	13	5	4
