Id	Workflow Name/File	Tree?	searchSpace	# operators	# edges	# blocking edges	# operators with more than 1 input ports	# operators with more than 1 output ports	Maximum # of input ports in an operator	Maximum # of output ports in an operator	AVG indegree of operators	AVG outdegree of operators	MAX indegree of an operator	MAX outdegree of an operator	# edges in an undirected cycle	Schedulable?	00000-searchFinished	00000-searchTime	00000-numStates	00000-OSEPCost	00001-searchFinished	00001-searchTime	00001-numStates	00001-OSEPCost	00010-searchFinished	00010-searchTime	00010-numStates	00010-OSEPCost	00011-searchFinished	00011-searchTime	00011-numStates	00011-OSEPCost	00100-searchFinished	00100-searchTime	00100-numStates	00100-OSEPCost	00101-searchFinished	00101-searchTime	00101-numStates	00101-OSEPCost	00110-searchFinished	00110-searchTime	00110-numStates	00110-OSEPCost	00111-searchFinished	00111-searchTime	00111-numStates	00111-OSEPCost	01000-searchFinished	01000-searchTime	01000-numStates	01000-OSEPCost	01001-searchFinished	01001-searchTime	01001-numStates	01001-OSEPCost	01010-searchFinished	01010-searchTime	01010-numStates	01010-OSEPCost	01011-searchFinished	01011-searchTime	01011-numStates	01011-OSEPCost	01100-searchFinished	01100-searchTime	01100-numStates	01100-OSEPCost	01101-searchFinished	01101-searchTime	01101-numStates	01101-OSEPCost	01110-searchFinished	01110-searchTime	01110-numStates	01110-OSEPCost	01111-searchFinished	01111-searchTime	01111-numStates	01111-OSEPCost	10000-searchFinished	10000-searchTime	10000-numStates	10000-OSEPCost	10001-searchFinished	10001-searchTime	10001-numStates	10001-OSEPCost	10010-searchFinished	10010-searchTime	10010-numStates	10010-OSEPCost	10011-searchFinished	10011-searchTime	10011-numStates	10011-OSEPCost	10100-searchFinished	10100-searchTime	10100-numStates	10100-OSEPCost	10101-searchFinished	10101-searchTime	10101-numStates	10101-OSEPCost	10110-searchFinished	10110-searchTime	10110-numStates	10110-OSEPCost	10111-searchFinished	10111-searchTime	10111-numStates	10111-OSEPCost	11000-searchFinished	11000-searchTime	11000-numStates	11000-OSEPCost	11001-searchFinished	11001-searchTime	11001-numStates	11001-OSEPCost	11010-searchFinished	11010-searchTime	11010-numStates	11010-OSEPCost	11011-searchFinished	11011-searchTime	11011-numStates	11011-OSEPCost	11100-searchFinished	11100-searchTime	11100-numStates	11100-OSEPCost	11101-searchFinished	11101-searchTime	11101-numStates	11101-OSEPCost	11110-searchFinished	11110-searchTime	11110-numStates	11110-OSEPCost	11111-searchFinished	11111-searchTime	11111-numStates	11111-OSEPCost
795	ComparisonSelection	FALSE	87	121	133	46	15	10	3	7	1.136752137	1.136752137	3	7	22	FALSE	FALSE	84732	50005	1.39E+07	FALSE	84987	50005	1.39E+07	FALSE	93021	50006	7120827	FALSE	101041	50006	7120827	FALSE	144911	50009	4333029	FALSE	144690	50008	4333029	FALSE	146210	50001	1802950	FALSE	173390	50007	1802950	TRUE	5080	112	138413	TRUE	4545	109	138413	TRUE	2328	80	138413	TRUE	2716	77	138413	TRUE	290	30	138413	TRUE	302	27	138413	TRUE	308	26	138413	TRUE	216	23	138413	FALSE	68908	50005	2887	FALSE	73685	50031	2887	FALSE	83296	50006	2887	FALSE	101089	50014	2887	FALSE	141601	50012	2887	FALSE	138250	50008	2887	FALSE	154514	50001	2887	FALSE	183234	50007	2887	TRUE	4304	112	2887	TRUE	70	2	2887	TRUE	2295	80	2887	TRUE	52	2	2887	TRUE	368	34	2887	TRUE	21	2	2887	TRUE	200	26	2887	TRUE	22	2	2887
485	AU5800_CalPassFail_DataCompare	FALSE	80	105	112	32	11	6	2	5	1.108910891	1.108910891	2	5	4	FALSE	FALSE	95299	50026	5687249	FALSE	87158	50026	5687249	FALSE	138656	50007	883163	FALSE	139194	50007	883163	TRUE	92700	16384	3314	TRUE	56409	10251	3314	TRUE	86618	16384	3314	TRUE	65020	10251	3314	TRUE	2935	89	142724	TRUE	3040	85	142724	TRUE	818	45	142724	TRUE	762	41	142724	TRUE	131	15	142724	TRUE	81	11	142724	TRUE	105	15	142724	TRUE	96	11	142724	FALSE	93841	50026	3314	FALSE	84918	50004	3314	FALSE	127357	50007	3314	FALSE	151607	50008	3314	FALSE	216530	50002	3314	FALSE	296605	50005	3314	TRUE	104302	16384	3314	TRUE	43455	6151	3314	TRUE	3607	89	3314	TRUE	64	2	3314	TRUE	702	45	3314	TRUE	43	2	3314	TRUE	164	19	3314	TRUE	21	2	3314	TRUE	77	15	3314	TRUE	20	2	3314
832	Convex Hull	FALSE	76	89	94	18	9	8	2	3	1.105882353	1.105882353	2	3	11	FALSE	FALSE	85363	50035	1.91E+07	FALSE	122473	50024	1.91E+07	FALSE	145924	50002	9082530	FALSE	193840	50001	5736092	FALSE	260620	50002	232259	TRUE	17311	2087	223114	TRUE	8522	2048	223114	TRUE	637	86	223114	TRUE	2428	84	233339	TRUE	2589	76	233339	TRUE	249	28	227871	TRUE	237	22	227871	TRUE	98	17	227871	TRUE	114	11	227871	TRUE	58	12	227871	TRUE	46	6	227871	FALSE	80951	50035	1.80E+308	FALSE	84745	50035	1.80E+308	FALSE	132486	50002	1.80E+308	FALSE	141049	50002	1.80E+308	FALSE	181908	50001	1.80E+308	FALSE	165311	50001	1.80E+308	TRUE	9065	2048	223114	TRUE	8704	1991	223114	TRUE	2902	84	2.49E+07	TRUE	3159	74	2.49E+07	TRUE	260	28	2.07E+07	TRUE	279	23	2.07E+07	TRUE	195	24	275259	TRUE	302	20	275259	TRUE	63	12	270609	TRUE	59	11	270609
2196	naive Bayes - Stromverträge	FALSE	69	85	97	28	15	15	2	3	1.182926829	1.182926829	2	3	3	FALSE	FALSE	69045	50005	9880853	FALSE	101294	50014	9880853	FALSE	85550	50008	9509458	FALSE	100639	50002	9509458	FALSE	132129	50009	504498	FALSE	140550	50004	504498	FALSE	102363	50009	504498	FALSE	113172	50004	504498	TRUE	1701	74	29054	TRUE	1475	74	29054	TRUE	976	58	29054	TRUE	1118	58	29054	TRUE	155	22	29054	TRUE	116	22	29054	TRUE	97	22	29054	TRUE	93	22	29054	FALSE	46142	50005	29054	FALSE	50292	50026	29054	FALSE	54883	50008	29054	FALSE	56365	50003	29054	FALSE	82811	50001	29054	FALSE	92172	50004	29054	FALSE	90227	50009	29054	FALSE	100871	50002	29054	TRUE	1179	74	29054	TRUE	34	2	29054	TRUE	683	58	29054	TRUE	43	2	29054	TRUE	112	25	29054	TRUE	10	2	29054	TRUE	86	22	29054	TRUE	9	2	29054
2863	m_001_wahlstatistik_2021_import_daten	FALSE	68	103	116	48	17	14	3	3	1.195876289	1.195876289	3	3	6	FALSE	FALSE	93009	50016	4301210	FALSE	124918	50042	4301210	FALSE	96618	50043	2519538	FALSE	114671	50004	2519538	FALSE	139898	50008	552305	FALSE	272102	50002	473832	FALSE	192872	50002	407300	TRUE	28864	5166	388511	TRUE	3029	87	409671	TRUE	2627	81	409671	TRUE	1745	60	409671	TRUE	1656	54	409671	TRUE	118	21	409671	TRUE	112	15	409671	TRUE	123	17	409671	TRUE	69	11	409671	FALSE	59780	50016	1.80E+308	FALSE	57385	50016	1.80E+308	FALSE	74397	50043	1.80E+308	FALSE	73358	50043	1.80E+308	FALSE	112662	50001	388511	FALSE	111986	50011	388511	FALSE	197500	50002	388511	FALSE	202351	50002	388511	TRUE	2357	87	1771306	TRUE	1321	36	1771306	TRUE	1004	60	3277379	TRUE	984	55	3277379	TRUE	179	26	1423481	TRUE	157	18	1423481	TRUE	76	17	1343253	TRUE	75	17	1343253
2121	Microsoft Financial Statement Prior Year Tie Out	FALSE	62	70	77	15	9	6	2	3	1.132352941	1.132352941	2	3	9	FALSE	FALSE	84863	50001	3533904	FALSE	127376	50015	3533904	FALSE	79614	50030	904057	FALSE	120954	50003	898555	TRUE	1778	512	90500	TRUE	92	24	90500	TRUE	1611	512	90500	TRUE	82	24	90500	TRUE	1362	65	90500	TRUE	1093	60	90500	TRUE	703	53	90500	TRUE	663	48	90500	TRUE	29	10	90500	TRUE	21	5	90500	TRUE	25	10	90500	TRUE	20	5	90500	FALSE	79721	50001	1.80E+308	FALSE	77744	50001	1.80E+308	FALSE	72580	50030	1.80E+308	FALSE	62860	50030	1.80E+308	TRUE	10469	4096	90500	TRUE	10275	4039	90500	TRUE	1040	512	90500	TRUE	971	508	90500	TRUE	1332	65	3307309	TRUE	789	36	3307309	TRUE	692	53	337637	TRUE	402	23	337637	TRUE	37	13	770848	TRUE	55	12	770848	TRUE	19	10	130744	TRUE	22	9	130744
2379	R4A_StructureHarmonisation_IDgenerator	FALSE	55	86	95	40	15	10	4	3	1.25	1.25	4	3	8	FALSE	FALSE	129405	50050	1.85E+07	FALSE	158375	50034	1.85E+07	FALSE	130467	50012	1385110	FALSE	132284	50011	1361802	TRUE	67998	16384	10253	TRUE	36525	8206	10253	TRUE	22	16	10253	TRUE	17	11	10253	TRUE	1801	67	10253	TRUE	2232	67	10253	TRUE	347	34	10253	TRUE	335	34	10253	TRUE	65	15	10253	TRUE	60	15	10253	TRUE	8	5	10253	TRUE	8	5	10253	FALSE	81500	50050	10253	FALSE	83976	50025	10253	FALSE	103700	50012	10253	FALSE	105203	50018	10253	FALSE	133769	50009	10253	FALSE	152283	50006	10253	TRUE	21	16	10253	TRUE	17	12	10253	TRUE	1269	67	10253	TRUE	45	2	10253	TRUE	316	34	10253	TRUE	20	2	10253	TRUE	137	22	10253	TRUE	13	2	10253	TRUE	8	5	10253	TRUE	4	2	10253
822	Convert to (Decimal) Binary	FALSE	48	54	60	12	6	6	3	3	1.132075472	1.132075472	3	3	3	FALSE	FALSE	56832	50030	295482	FALSE	71208	50020	295482	FALSE	58107	50002	170231	FALSE	70178	50005	170231	TRUE	3548	2048	8165	TRUE	610	275	8165	TRUE	1870	1024	8165	TRUE	298	145	8165	TRUE	452	53	45245	TRUE	599	45	45245	TRUE	406	42	14680	TRUE	273	38	14680	TRUE	26	12	14680	TRUE	20	8	14680	TRUE	23	11	14680	TRUE	17	7	14680	FALSE	52138	50030	1.80E+308	FALSE	46107	50030	1.80E+308	FALSE	53726	50002	1.80E+308	FALSE	53088	50002	1.80E+308	TRUE	18194	8192	8165	TRUE	18454	7177	8165	TRUE	1889	1024	8165	TRUE	2059	903	8165	TRUE	459	53	136715	TRUE	438	26	136715	TRUE	356	42	68504	TRUE	214	18	68504	TRUE	46	14	53036	TRUE	35	13	53036	TRUE	17	11	28926	TRUE	16	11	28926
590	casanissei	FALSE	48	75	87	39	11	8	4	7	1.208333333	1.208333333	4	7	4	FALSE	FALSE	84084	50008	798283	FALSE	113525	50019	796737	FALSE	96069	50001	494522	FALSE	137169	50012	494522	TRUE	1037	512	14059	TRUE	452	133	14059	TRUE	54	32	14059	TRUE	26	14	14059	TRUE	525	47	14059	TRUE	521	46	14059	TRUE	275	35	14059	TRUE	300	34	14059	TRUE	47	10	14059	TRUE	51	9	14059	TRUE	14	6	14059	TRUE	9	5	14059	FALSE	67885	50008	14059	FALSE	71752	50030	14059	FALSE	95313	50001	14059	FALSE	87918	50005	14059	TRUE	1654	512	14059	TRUE	1048	392	14059	TRUE	50	32	14059	TRUE	43	28	14059	TRUE	497	47	861365	TRUE	454	35	861365	TRUE	301	35	195038	TRUE	120	10	195038	TRUE	29	10	69945	TRUE	25	7	69945	TRUE	8	6	22856	TRUE	8	4	22856
2063	Logistics _ Stock Forecast (nested-recursive equations)	FALSE	48	70	78	30	11	10	2	2	1.164179104	1.164179104	2	2	8	FALSE	FALSE	83286	50043	628163	FALSE	120784	50011	613982	FALSE	100386	50002	372078	FALSE	142528	50017	372078	TRUE	69595	16384	28926	TRUE	19379	4107	28926	TRUE	8013	2048	28926	TRUE	2043	524	28926	TRUE	941	60	88499	TRUE	1280	54	88499	TRUE	601	42	28926	TRUE	623	41	28926	TRUE	77	15	28926	TRUE	57	14	28926	TRUE	49	12	28926	TRUE	35	11	28926	FALSE	79449	50043	28926	FALSE	83989	50020	28926	FALSE	70637	50002	28926	FALSE	72082	50020	28926	FALSE	127723	50002	28926	FALSE	127433	50003	28926	TRUE	5103	2048	28926	TRUE	4157	1545	28926	TRUE	1135	60	526461	TRUE	831	48	526461	TRUE	393	42	356027	TRUE	385	37	356027	TRUE	78	19	172122	TRUE	76	16	172122	TRUE	29	12	96055	TRUE	27	9	96055
