Id	Workflow Name/File	Tree?	searchSpace	# operators	# edges	# blocking edges	Top-down Exhaustive	Bottom-up Exhaustive	Bottom-up - Top-down	00111-searchFinished	00111-numStates	00111-OSEPCost	01111-searchFinished	Top-down Greedy	Bottom-up Greedy	Bottom-up Greedy - Top-down Greedy	01111-numStates	01111-OSEPCost	10111-searchFinished	10111-numStates	10111-OSEPCost	11111-searchFinished	11111-numStates	11111-OSEPCost
485	AU5800_CalPassFail_DataCompare	FALSE	80	105	112	32	65020	43455	-21565	TRUE	10251	3314	TRUE	96	20	-76	11	142724	TRUE	6151	3314	TRUE	2	3314
832	Convex Hull	FALSE	76	89	94	18	637	8704	8067	TRUE	86	223114	TRUE	46	59	13	6	227871	TRUE	1991	223114	TRUE	11	270609
2863	m_001_wahlstatistik_2021_import_daten	FALSE	68	103	116	48	28864	202351	173487	TRUE	5166	388511	TRUE	69	75	6	11	409671	FALSE	50002	388511	TRUE	17	1343253
2121	Microsoft Financial Statement Prior Year Tie Out	FALSE	62	70	77	15	82	971	889	TRUE	24	90500	TRUE	20	22	2	5	90500	TRUE	508	90500	TRUE	9	130744
2379	R4A_StructureHarmonisation_IDgenerator	FALSE	55	86	95	40	17	17	0	TRUE	11	10253	TRUE	8	4	-4	5	10253	TRUE	12	10253	TRUE	2	10253
822	Convert to (Decimal) Binary	FALSE	48	54	60	12	298	2059	1761	TRUE	145	8165	TRUE	17	16	-1	7	14680	TRUE	903	8165	TRUE	11	28926
590	casanissei	FALSE	48	75	87	39	26	43	17	TRUE	14	14059	TRUE	9	8	-1	5	14059	TRUE	28	14059	TRUE	4	22856
2063	Logistics _ Stock Forecast (nested-recursive equations)	FALSE	48	70	78	30	2043	4157	2114	TRUE	524	28926	TRUE	35	27	-8	11	28926	TRUE	1545	28926	TRUE	9	96055
2179	MTBF	FALSE	47	48	62	15	13	12	-1	TRUE	9	29674	TRUE	11	5	-6	4	29674	TRUE	14	29674	TRUE	4	53174
2075	LukesLocal	FALSE	46	85	88	42	4	3	-1	TRUE	4	14211	TRUE	4	2	-2	3	14211	TRUE	3	14211	TRUE	2	14211
912	CTC Scorecard	FALSE	46	68	73	27	1095	8924	7829	TRUE	284	3.22E+08	TRUE	33	27	-6	10	3.22E+08	TRUE	3849	3.22E+08	TRUE	12	3.22E+08
1253	fb01_int_games_scraper_Euro_2020	FALSE	41	60	62	21	11	7	-4	TRUE	6	329273	TRUE	4	4	0	3	329273	TRUE	8	329273	TRUE	3	329273
1674	Just KNIME It S02 _ CH09 _ Wine Quality	FALSE	41	54	64	23	7881	83978	76097	TRUE	1575	106460	TRUE	68	49	-19	12	106460	TRUE	31242	106460	TRUE	13	250909
49	02 Creating Your Sports Analytics Dataset	FALSE	40	57	57	17	3	2	-1	TRUE	3	24462	TRUE	4	2	-2	3	24462	TRUE	3	24462	TRUE	2	24462
