# edges	# blocking edges	bottom-up-searchTime	top-down-searchTime	bottom-up - top-down	ratio
133	46	216	22	-194	0.3458646617
112	32	96	20	-76	0.2857142857
94	18	46	59	13	0.1914893617
97	28	93	9	-84	0.2886597938
116	48	69	75	6	0.4137931034
77	15	20	22	2	0.1948051948
95	40	8	4	-4	0.4210526316
60	12	17	16	-1	0.2
87	39	9	8	-1	0.4482758621
78	30	35	27	-8	0.3846153846
62	15	11	5	-6	0.2419354839
88	42	4	2	-2	0.4772727273
73	27	33	27	-6	0.3698630137
62	21	4	4	0	0.3387096774
64	23	68	49	-19	0.359375
57	17	4	2	-2	0.298245614
68	28	6	4	-2	0.4117647059
60	20	19	14	-5	0.3333333333
46	6	8	5	-3	0.1304347826
59	20	23	15	-8	0.3389830508
58	19	17	10	-7	0.3275862069
59	20	16	14	-2	0.3389830508
59	20	16	16	0	0.3389830508
59	20	16	9	-7	0.3389830508
59	20	14	13	-1	0.3389830508
59	20	19	19	0	0.3389830508
58	19	15	14	-1	0.3275862069
58	20	21	18	-3	0.3448275862
58	20	17	14	-3	0.3448275862
58	20	14	12	-2	0.3448275862
58	20	28	11	-17	0.3448275862
58	20	17	17	0	0.3448275862
58	20	18	19	1	0.3448275862
58	20	14	15	1	0.3448275862
58	20	17	12	-5	0.3448275862
58	20	17	12	-5	0.3448275862
58	20	13	12	-1	0.3448275862
58	20	24	14	-10	0.3448275862
58	20	23	11	-12	0.3448275862
58	20	15	21	6	0.3448275862
58	20	15	11	-4	0.3448275862
58	20	19	9	-10	0.3448275862
58	20	18	13	-5	0.3448275862
58	20	14	8	-6	0.3448275862
58	20	15	8	-7	0.3448275862
58	20	23	17	-6	0.3448275862
58	20	14	10	-4	0.3448275862
58	20	16	7	-9	0.3448275862
58	20	14	13	-1	0.3448275862
58	20	13	9	-4	0.3448275862
58	20	29	21	-8	0.3448275862
58	20	19	10	-9	0.3448275862
50	12	3	4	1	0.24
58	20	14	17	3	0.3448275862
58	20	15	17	2	0.3448275862
58	20	18	17	-1	0.3448275862
58	20	12	11	-1	0.3448275862
58	20	25	9	-16	0.3448275862
58	20	14	6	-8	0.3448275862
58	20	21	14	-7	0.3448275862
58	20	16	18	2	0.3448275862
58	20	18	11	-7	0.3448275862
58	20	17	11	-6	0.3448275862
58	20	20	18	-2	0.3448275862
58	20	17	17	0	0.3448275862
58	20	22	12	-10	0.3448275862
58	20	15	14	-1	0.3448275862
58	20	21	10	-11	0.3448275862
58	20	21	12	-9	0.3448275862
58	20	18	8	-10	0.3448275862
58	20	16	14	-2	0.3448275862
58	20	17	31	14	0.3448275862
58	20	20	14	-6	0.3448275862
58	20	17	37	20	0.3448275862
58	20	17	14	-3	0.3448275862
58	20	16	11	-5	0.3448275862
58	20	20	19	-1	0.3448275862
58	20	15	14	-1	0.3448275862
58	20	24	17	-7	0.3448275862
58	20	20	15	-5	0.3448275862
58	20	21	18	-3	0.3448275862
58	20	20	17	-3	0.3448275862
58	20	14	18	4	0.3448275862
58	20	21	19	-2	0.3448275862
58	20	20	15	-5	0.3448275862
58	20	12	13	1	0.3448275862
58	20	24	24	0	0.3448275862
58	20	14	18	4	0.3448275862
58	20	15	12	-3	0.3448275862
58	20	21	14	-7	0.3448275862
58	20	16	11	-5	0.3448275862
58	20	14	15	1	0.3448275862
58	20	3	5	2	0.3448275862
58	20	17	13	-4	0.3448275862
58	20	17	16	-1	0.3448275862
58	20	16	19	3	0.3448275862
58	20	20	15	-5	0.3448275862
58	20	16	11	-5	0.3448275862
58	20	19	14	-5	0.3448275862
58	20	19	12	-7	0.3448275862
58	20	24	13	-11	0.3448275862
58	20	20	13	-7	0.3448275862
58	20	17	20	3	0.3448275862
58	20	22	20	-2	0.3448275862
58	20	24	15	-9	0.3448275862
58	20	19	23	4	0.3448275862
58	20	20	17	-3	0.3448275862
42	5	10	2	-8	0.119047619
57	20	22	10	-12	0.350877193
57	20	14	17	3	0.350877193
57	20	17	18	1	0.350877193
57	20	20	18	-2	0.350877193
59	22	16	13	-3	0.3728813559
45	9	12	12	0	0.2
53	17	2	2	0	0.320754717
43	8	4	3	-1	0.1860465116
47	13	1	1	0	0.2765957447
44	10	29	16	-13	0.2272727273
58	26	2	2	0	0.4482758621
42	11	5	3	-2	0.2619047619
46	16	7	2	-5	0.347826087
53	23	5	5	0	0.4339622642
63	33	17	23	6	0.5238095238
44	15	2	1	-1	0.3409090909
42	14	12	3	-9	0.3333333333
42	14	12	3	-9	0.3333333333
42	14	5	2	-3	0.3333333333
31	3	8	7	-1	0.09677419355
30	3	4	1	-3	0.1
30	3	3	2	-1	0.1
39	12	2	1	-1	0.3076923077
40	15	5	2	-3	0.375
50	25	2	2	0	0.5
48	23	3	3	0	0.4791666667
37	12	2	1	-1	0.3243243243
45	21	9	10	1	0.4666666667
35	11	3	2	-1	0.3142857143
28	5	2	2	0	0.1785714286
39	16	2	1	-1	0.4102564103
48	25	3	2	-1	0.5208333333
29	6	2	0	-2	0.2068965517
40	17	10	3	-7	0.425
34	12	12	14	2	0.3529411765
54	32	1	1	0	0.5925925926
34	12	6	4	-2	0.3529411765
29	7	1	2	1	0.2413793103
36	14	6	8	2	0.3888888889
27	5	7	3	-4	0.1851851852
47	25	3	1	-2	0.5319148936
55	33	5	2	-3	0.6
27	6	2	1	-1	0.2222222222
24	3	6	4	-2	0.125
27	6	7	6	-1	0.2222222222
26	5	1	1	0	0.1923076923
23	2	2	1	-1	0.08695652174
36	15	3	4	1	0.4166666667
30	9	2	2	0	0.3
30	9	2	1	-1	0.3
28	8	5	4	-1	0.2857142857
23	3	1	1	0	0.1304347826
21	1	1	2	1	0.04761904762
30	10	4	4	0	0.3333333333
35	15	2	1	-1	0.4285714286
39	19	3	1	-2	0.4871794872
27	8	4	3	-1	0.2962962963
52	33	7	2	-5	0.6346153846
37	18	9	11	2	0.4864864865
26	7	2	3	1	0.2692307692
41	22	3	2	-1	0.5365853659
36	17	2	2	0	0.4722222222
34	15	2	1	-1	0.4411764706
22	3	1	2	1	0.1363636364
52	33	7	3	-4	0.6346153846
32	14	4	2	-2	0.4375
22	4	10	5	-5	0.1818181818
20	2	1	1	0	0.1
24	6	2	1	-1	0.25
24	6	4	1	-3	0.25
20	2	3	1	-2	0.1
21	4	2	1	-1	0.1904761905
30	13	3	3	0	0.4333333333
24	7	2	1	-1	0.2916666667
51	34	6	3	-3	0.6666666667
27	10	3	2	-1	0.3703703704
20	3	1	0	-1	0.15
26	10	3	2	-1	0.3846153846
28	12	1	1	0	0.4285714286
20	4	1	1	0	0.2
27	11	5	3	-2	0.4074074074
25	9	3	1	-2	0.36
25	9	3	2	-1	0.36
27	11	2	1	-1	0.4074074074
18	2	2	0	-2	0.1111111111
27	11	1	2	1	0.4074074074
21	5	2	1	-1	0.2380952381
18	2	2	1	-1	0.1111111111
19	3	3	2	-1	0.1578947368
22	7	4	1	-3	0.3181818182
23	8	2	2	0	0.347826087
17	2	1	1	0	0.1176470588
26	11	3	3	0	0.4230769231
19	4	1	1	0	0.2105263158
26	11	2	1	-1	0.4230769231
24	9	1	2	1	0.375
21	7	1	1	0	0.3333333333
24	10	2	3	1	0.4166666667
33	19	2	1	-1	0.5757575758
17	3	1	0	-1	0.1764705882
24	10	5	3	-2	0.4166666667
25	11	3	2	-1	0.44
17	3	1	1	0	0.1764705882
16	2	3	3	0	0.125
19	5	1	1	0	0.2631578947
15	1	1	1	0	0.06666666667
25	11	2	3	1	0.44
38	24	2	2	0	0.6315789474
20	7	2	2	0	0.35
30	17	6	5	-1	0.5666666667
20	7	3	2	-1	0.35
29	16	3	1	-2	0.5517241379
14	1	1	1	0	0.07142857143
20	7	4	2	-2	0.35
20	7	2	2	0	0.35
26	13	9	3	-6	0.5
20	7	1	1	0	0.35
19	6	2	1	-1	0.3157894737
35	22	4	4	0	0.6285714286
22	9	2	2	0	0.4090909091
21	8	3	3	0	0.380952381
18	5	1	0	-1	0.2777777778
14	2	1	1	0	0.1428571429
43	31	4	3	-1	0.7209302326
14	2	2	1	-1	0.1428571429
21	9	5	2	-3	0.4285714286
16	4	1	1	0	0.25
14	2	2	1	-1	0.1428571429
25	13	2	1	-1	0.52
25	13	1	1	0	0.52
14	2	3	1	-2	0.1428571429
24	12	3	1	-2	0.5
22	10	4	2	-2	0.4545454545
17	6	1	1	0	0.3529411765
16	5	1	0	-1	0.3125
18	7	1	1	0	0.3888888889
12	1	1	1	0	0.08333333333
16	5	2	1	-1	0.3125
13	2	1	1	0	0.1538461538
14	3	1	1	0	0.2142857143
18	7	1	0	-1	0.3888888889
14	3	1	1	0	0.2142857143
26	15	2	1	-1	0.5769230769
16	5	2	1	-1	0.3125
20	9	2	1	-1	0.45
13	2	2	0	-2	0.1538461538
13	2	2	1	-1	0.1538461538
20	9	1	0	-1	0.45
25	15	2	3	1	0.6
11	1	1	1	0	0.09090909091
26	16	8	2	-6	0.6153846154
19	9	1	1	0	0.4736842105
21	11	2	2	0	0.5238095238
16	6	1	1	0	0.375
16	6	1	1	0	0.375
15	5	1	1	0	0.3333333333
16	6	1	1	0	0.375
11	1	1	1	0	0.09090909091
16	6	2	2	0	0.375
17	7	2	1	-1	0.4117647059
13	3	1	1	0	0.2307692308
18	8	1	1	0	0.4444444444
17	7	1	1	0	0.4117647059
17	7	1	1	0	0.4117647059
16	6	1	1	0	0.375
12	2	1	1	0	0.1666666667
23	13	2	1	-1	0.5652173913
16	6	1	1	0	0.375
16	6	1	1	0	0.375
23	13	1	1	0	0.5652173913
22	12	4	4	0	0.5454545455
17	7	3	1	-2	0.4117647059
32	22	2	2	0	0.6875
14	4	1	1	0	0.2857142857
27	17	3	1	-2	0.6296296296
27	17	2	1	-1	0.6296296296
13	3	2	1	-1	0.2307692308
13	4	1	1	0	0.3076923077
21	12	2	1	-1	0.5714285714
13	4	1	0	-1	0.3076923077
18	9	1	1	0	0.5
10	1	1	0	-1	0.1
11	2	1	1	0	0.1818181818
30	21	1	2	1	0.7
12	3	1	1	0	0.25
10	1	1	0	-1	0.1
10	1	1	1	0	0.1
11	2	0	1	1	0.1818181818
14	5	1	0	-1	0.3571428571
13	4	1	1	0	0.3076923077
12	3	1	0	-1	0.25
12	3	2	0	-2	0.25
77	68	51	36	-15	0.8831168831
19	10	2	1	-1	0.5263157895
13	4	2	1	-1	0.3076923077
15	6	1	1	0	0.4
11	2	1	0	-1	0.1818181818
18	10	3	2	-1	0.5555555556
12	4	1	0	-1	0.3333333333
10	2	1	1	0	0.2
16	8	2	1	-1	0.5
21	13	1	1	0	0.619047619
10	2	2	1	-1	0.2
14	6	1	1	0	0.4285714286
11	3	1	0	-1	0.2727272727
10	2	1	0	-1	0.2
11	3	1	0	-1	0.2727272727
11	3	2	1	-1	0.2727272727
25	17	7	10	3	0.68
13	5	1	1	0	0.3846153846
20	12	2	3	1	0.6
23	15	2	1	-1	0.652173913
41	33	2	1	-1	0.8048780488
13	5	2	1	-1	0.3846153846
16	8	1	1	0	0.5
13	5	1	1	0	0.3846153846
13	5	1	1	0	0.3846153846
26	18	2	3	1	0.6923076923
10	2	1	0	-1	0.2
13	5	2	1	-1	0.3846153846
12	4	1	1	0	0.3333333333
12	4	1	1	0	0.3333333333
11	3	1	0	-1	0.2727272727
20	12	1	1	0	0.6
17	10	1	1	0	0.5882352941
42	35	5	2	-3	0.8333333333
15	8	1	1	0	0.5333333333
21	14	1	1	0	0.6666666667
12	5	2	1	-1	0.4166666667
10	3	1	1	0	0.3
14	7	0	0	0	0.5
27	20	4	6	2	0.7407407407
14	7	2	1	-1	0.5
10	3	1	0	-1	0.3
10	3	1	0	-1	0.3
13	6	1	1	0	0.4615384615
11	4	1	1	0	0.3636363636
10	3	1	1	0	0.3
18	11	3	1	-2	0.6111111111
10	3	1	1	0	0.3
12	6	1	0	-1	0.5
18	12	2	0	-2	0.6666666667
18	12	1	0	-1	0.6666666667
12	6	2	0	-2	0.5
10	4	1	1	0	0.4
11	5	1	1	0	0.4545454545
11	5	0	1	1	0.4545454545
16	10	2	0	-2	0.625
12	6	1	1	0	0.5
12	6	1	1	0	0.5
16	10	2	1	-1	0.625
17	11	1	0	-1	0.6470588235
13	8	0	1	1	0.6153846154
11	6	2	1	-1	0.5454545455
13	8	1	0	-1	0.6153846154
19	14	2	2	0	0.7368421053
11	6	1	1	0	0.5454545455
12	7	1	0	-1	0.5833333333
13	8	1	1	0	0.6153846154
26	21	6	5	-1	0.8076923077
17	12	1	1	0	0.7058823529
19	14	1	1	0	0.7368421053
12	7	0	1	1	0.5833333333
14	9	1	0	-1	0.6428571429
10	6	1	1	0	0.6
11	7	1	1	0	0.6363636364
12	8	3	1	-2	0.6666666667
12	8	1	1	0	0.6666666667
12	8	2	1	-1	0.6666666667
13	9	3	2	-1	0.6923076923
12	8	1	1	0	0.6666666667
10	6	0	1	1	0.6
12	8	1	0	-1	0.6666666667
10	7	1	1	0	0.7
14	11	1	0	-1	0.7857142857
10	7	1	1	0	0.7
13	10	2	1	-1	0.7692307692
12	9	2	1	-1	0.75
22	19	2	2	0	0.8636363636
13	10	1	0	-1	0.7692307692
22	20	2	1	-1	0.9090909091
10	8	2	0	-2	0.8
12	10	2	1	-1	0.8333333333
12	12	2	0	-2	1
